Employee_ID,Age,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality
EMP0070,25,Finance,6,Remote,28,13,2,Low,1,Daily,Good
EMP0071,43,Consulting,23,Onsite,39,4,4,Medium,1,Weekly,Average
EMP0072,50,Consulting,25,Remote,29,13,1,Medium,2,Weekly,Average
EMP0073,28,Retail,15,Onsite,30,14,5,High,1,Weekly,Good
EMP0074,23,IT,29,Hybrid,53,7,3,High,1,None,Poor
EMP0075,38,Consulting,35,Onsite,57,10,2,Medium,3,Weekly,Poor
EMP0076,42,Retail,27,Onsite,49,3,5,High,3,None,Good
EMP0077,31,Consulting,4,Onsite,55,8,4,High,2,Weekly,Good
EMP0078,28,Healthcare,25,Remote,37,10,5,Medium,1,Daily,Average
EMP0079,29,Manufacturing,15,Remote,51,5,2,High,1,Daily,Average
EMP0080,27,Consulting,21,Hybrid,21,7,5,Low,3,Weekly,Average
EMP0081,54,Education,5,Hybrid,21,10,3,High,4,None,Poor
EMP0082,42,Finance,33,Onsite,44,9,4,High,2,Daily,Poor
EMP0083,58,Education,32,Hybrid,26,10,3,High,2,Weekly,Good
EMP0084,26,Healthcare,15,Hybrid,43,6,4,High,3,None,Poor
EMP0085,56,Retail,9,Hybrid,42,14,4,Low,5,None,Good
EMP0086,50,Finance,20,Hybrid,44,8,4,Low,4,Daily,Poor
EMP0087,55,Manufacturing,10,Onsite,27,0,1,Low,1,Weekly,Poor
EMP0088,22,Education,26,Hybrid,43,5,1,Medium,2,Weekly,Poor
EMP0089,24,Consulting,11,Remote,38,0,5,High,2,None,Poor
EMP0090,53,Healthcare,23,Hybrid,38,4,4,Low,4,Daily,Poor
EMP0091,57,Retail,2,Onsite,57,4,4,Medium,2,Weekly,Average
EMP0092,22,Manufacturing,9,Onsite,60,3,1,High,5,Weekly,Good
EMP0093,41,IT,31,Onsite,29,0,5,Medium,5,None,Poor
EMP0094,46,Education,34,Remote,54,12,4,High,4,None,Average
EMP0095,60,Education,11,Onsite,31,11,5,High,4,Weekly,Average
EMP0096,44,Manufacturing,2,Remote,54,8,5,Low,3,None,Good
EMP0097,35,Healthcare,31,Hybrid,33,11,1,High,5,Weekly,Poor
EMP0098,48,IT,32,Hybrid,25,1,4,Low,3,Weekly,Average
EMP0099,31,Healthcare,19,Onsite,21,15,1,Low,5,Daily,Good
EMP0100,53,IT,12,Hybrid,45,10,2,Medium,4,Daily,Good
EMP0101,32,Manufacturing,32,Onsite,53,5,1,Medium,1,None,Poor
EMP0102,33,Consulting,9,Hybrid,46,12,1,High,2,Daily,Poor
EMP0103,45,IT,3,Hybrid,22,9,4,High,4,None,Good
EMP0104,50,Finance,18,Hybrid,60,12,4,High,5,None,Good
EMP0105,41,Education,30,Hybrid,42,2,4,Low,3,Weekly,Average
EMP0106,43,Healthcare,18,Onsite,60,2,3,High,3,Daily,Good
EMP0107,29,IT,25,Onsite,35,14,1,Medium,2,Daily,Good
EMP0108,44,Healthcare,27,Hybrid,44,2,2,High,5,Weekly,Poor
EMP0109,50,Healthcare,2,Remote,50,2,4,Medium,2,Weekly,Poor
EMP0110,36,Finance,4,Remote,22,7,5,Low,5,Daily,Good
EMP0111,34,Education,29,Hybrid,29,13,3,High,5,Weekly,Average
EMP0112,49,Finance,30,Remote,34,8,5,Low,1,Weekly,Good
EMP0113,45,Retail,10,Remote,30,7,1,Low,5,None,Poor
EMP0114,45,Retail,21,Onsite,53,0,3,Low,5,Daily,Poor
EMP0115,53,Healthcare,25,Remote,29,5,2,High,3,None,Poor
EMP0116,29,Education,35,Onsite,27,1,3,Medium,3,Weekly,Good
EMP0117,34,Finance,5,Onsite,44,14,3,Medium,3,Daily,Good
EMP0118,58,Education,25,Remote,42,13,2,High,3,Daily,Good
EMP0119,38,Manufacturing,1,Hybrid,22,4,2,Medium,3,Daily,Average
EMP0120,40,Consulting,27,Hybrid,34,13,2,Medium,5,Daily,Average
EMP0121,45,Manufacturing,29,Onsite,51,13,2,High,5,Daily,Average
EMP0122,43,Retail,18,Hybrid,48,6,5,High,3,None,Good
EMP0123,50,Healthcare,35,Onsite,30,10,2,High,1,None,Good
EMP0124,58,Consulting,14,Onsite,59,7,2,Low,5,Weekly,Average
EMP0125,42,Manufacturing,27,Remote,26,14,2,High,4,Daily,Average
EMP0126,53,Finance,27,Hybrid,60,1,3,Low,4,None,Average
EMP0127,36,Retail,8,Onsite,38,2,2,Medium,1,Daily,Good
EMP0128,51,Finance,21,Remote,34,0,5,High,2,None,Average
EMP0129,27,Consulting,15,Onsite,46,12,4,Medium,2,Daily,Poor
EMP0130,22,Retail,21,Hybrid,35,2,3,Low,3,None,Average
EMP0131,32,Education,16,Remote,23,9,1,Medium,5,Weekly,Good
EMP0132,32,Manufacturing,26,Remote,28,15,5,Low,4,Weekly,Average
EMP0133,53,Retail,4,Onsite,57,10,3,Medium,2,Weekly,Good
EMP0134,26,Manufacturing,29,Hybrid,29,4,1,Low,2,Weekly,Good
EMP0135,60,Finance,2,Hybrid,39,1,4,Medium,2,Weekly,Poor
EMP0136,51,IT,26,Remote,46,4,5,Medium,5,None,Good
EMP0137,44,Healthcare,14,Remote,26,9,2,High,5,Daily,Good
EMP0138,48,IT,10,Remote,32,4,4,Medium,5,Weekly,Poor
EMP0139,57,Education,34,Remote,30,11,3,High,5,None,Poor
EMP0140,49,Education,11,Hybrid,48,3,5,Low,1,Weekly,Average
EMP0141,32,Education,12,Onsite,44,13,1,High,5,Weekly,Poor
EMP0142,49,Healthcare,29,Hybrid,49,15,5,Low,4,None,Poor
EMP0143,23,Manufacturing,11,Hybrid,23,0,5,High,1,Weekly,Poor
EMP0144,55,Finance,3,Onsite,33,6,5,Low,2,Daily,Good
EMP0145,47,Education,18,Remote,35,15,5,High,2,Daily,Average
EMP0146,48,Consulting,5,Remote,41,8,3,Medium,4,Weekly,Poor
EMP0147,36,Healthcare,3,Hybrid,34,12,2,Low,3,Daily,Average
EMP0148,45,Finance,14,Remote,44,10,1,Low,5,Daily,Average
EMP0149,41,IT,10,Onsite,52,8,4,High,4,Daily,Good
EMP0150,50,Consulting,17,Onsite,57,11,2,Low,3,Weekly,Good
EMP0151,41,Consulting,34,Remote,32,15,3,High,3,Weekly,Average
EMP0152,57,Consulting,20,Remote,31,6,4,Low,4,Daily,Poor
EMP0153,30,Healthcare,29,Hybrid,58,15,1,Medium,2,Weekly,Poor
EMP0154,23,Consulting,31,Remote,26,9,1,Medium,2,None,Poor
EMP0155,30,Consulting,17,Remote,57,5,1,Low,4,Weekly,Average
EMP0156,47,Healthcare,31,Onsite,20,8,1,Low,1,None,Good
EMP0157,33,Finance,23,Hybrid,26,0,4,High,2,Weekly,Average
EMP0158,32,Finance,21,Hybrid,43,15,3,High,3,Weekly,Good
EMP0159,43,Manufacturing,6,Onsite,50,14,3,Low,3,Daily,Average
EMP0160,43,Healthcare,14,Onsite,52,0,5,High,3,Weekly,Good
EMP0161,35,IT,34,Hybrid,37,1,4,Medium,1,None,Average
EMP0162,40,Education,24,Hybrid,38,0,3,High,1,None,Average
EMP0163,29,Consulting,3,Hybrid,55,11,1,High,2,Weekly,Poor
EMP0164,24,Manufacturing,5,Hybrid,53,14,1,Medium,1,Weekly,Average
EMP0165,40,Healthcare,11,Onsite,20,13,1,Medium,1,None,Good
EMP0166,22,Manufacturing,10,Hybrid,46,1,2,Low,5,Daily,Poor
EMP0167,48,Education,35,Onsite,30,8,2,Low,2,None,Average
EMP0168,60,Retail,27,Remote,50,8,2,High,3,Daily,Poor
EMP0169,34,Healthcare,15,Remote,50,13,2,Medium,2,Daily,Average
EMP0170,50,Manufacturing,10,Hybrid,50,0,1,Low,3,Daily,Poor
EMP0171,38,Retail,19,Remote,23,7,1,Low,3,None,Poor
EMP0172,36,Retail,33,Onsite,45,3,4,Medium,4,None,Good
EMP0173,35,Finance,11,Hybrid,25,4,1,Medium,3,Weekly,Good
EMP0174,25,Manufacturing,35,Remote,36,9,2,High,4,Weekly,Good
EMP0175,34,Education,10,Onsite,60,3,2,Low,5,Daily,Good
EMP0176,32,Healthcare,12,Remote,35,7,3,Low,4,Daily,Average
EMP0177,58,Manufacturing,14,Hybrid,55,12,3,Medium,4,None,Good
EMP0178,40,Finance,31,Onsite,47,10,1,Medium,2,Weekly,Good
EMP0179,56,Healthcare,32,Hybrid,57,10,4,High,4,None,Good
EMP0180,44,Education,17,Hybrid,22,9,2,Medium,1,None,Good
EMP0181,30,IT,22,Remote,43,5,1,Medium,2,Daily,Poor
EMP0182,49,Consulting,29,Remote,45,9,5,Low,4,Weekly,Good
EMP0183,26,Healthcare,21,Onsite,56,14,2,Low,1,Weekly,Average
EMP0184,52,IT,22,Onsite,46,14,3,High,2,Daily,Good
EMP0185,24,Manufacturing,13,Hybrid,60,0,5,Medium,2,Daily,Good
EMP0186,40,Consulting,12,Remote,32,9,1,Medium,1,None,Average
EMP0187,57,Manufacturing,11,Hybrid,59,13,5,Medium,4,Weekly,Average
EMP0188,23,Consulting,17,Onsite,60,13,5,High,5,Daily,Good
EMP0189,40,IT,35,Hybrid,43,4,5,High,3,Weekly,Average
EMP0190,45,Education,15,Remote,33,8,1,Low,2,None,Poor
EMP0191,46,Finance,11,Hybrid,20,14,3,Low,2,Daily,Average
EMP0192,37,Retail,16,Hybrid,27,2,1,Medium,3,Weekly,Poor
EMP0193,51,Healthcare,4,Onsite,43,1,5,Medium,2,Weekly,Average
EMP0194,52,IT,29,Onsite,23,12,2,Medium,1,Daily,Average
EMP0195,53,Education,22,Onsite,29,0,1,Medium,4,None,Good
EMP0196,39,Education,7,Remote,47,0,2,Medium,4,None,Poor
EMP0197,56,Healthcare,28,Onsite,46,12,1,Low,5,None,Good
EMP0198,59,Manufacturing,13,Hybrid,40,2,1,Low,4,Weekly,Average
EMP0199,28,Retail,7,Remote,47,0,4,High,3,Daily,Poor
EMP0200,36,Finance,3,Remote,53,7,3,High,2,Daily,Average
EMP0201,45,Education,3,Hybrid,55,14,4,Medium,1,Daily,Average
EMP0202,52,Retail,2,Remote,40,1,2,Medium,3,Weekly,Good
EMP0203,55,IT,32,Hybrid,28,8,5,Low,1,None,Poor
EMP0204,58,Consulting,18,Hybrid,39,14,3,Low,1,Weekly,Good
EMP0205,51,IT,14,Onsite,41,5,5,Medium,2,None,Good
EMP0206,52,Finance,5,Onsite,21,3,5,Low,5,Daily,Poor
EMP0207,54,IT,12,Onsite,34,11,3,Low,5,Daily,Good
EMP0208,35,Retail,2,Remote,36,14,3,Low,2,Weekly,Good
EMP0209,39,Manufacturing,19,Remote,32,2,4,High,4,Weekly,Average
EMP0210,47,Consulting,7,Hybrid,21,8,2,Medium,5,None,Average
EMP0211,49,Manufacturing,31,Onsite,56,3,5,High,4,Daily,Poor
EMP0212,60,Manufacturing,33,Onsite,58,8,4,Low,4,None,Poor
EMP0213,47,Manufacturing,11,Onsite,35,8,1,High,4,None,Good
EMP0214,27,Healthcare,22,Hybrid,52,3,1,Low,5,Weekly,Good
EMP0215,46,Consulting,30,Remote,33,8,1,Low,4,Daily,Average
EMP0216,25,Manufacturing,22,Remote,47,9,2,Medium,4,None,Good
EMP0217,30,Education,11,Onsite,56,13,3,Medium,4,None,Poor
EMP0218,38,Education,35,Onsite,33,4,2,Low,2,Daily,Average
EMP0219,56,Education,5,Remote,60,9,3,Low,4,Weekly,Average
EMP0220,42,Manufacturing,23,Hybrid,32,5,4,Low,1,Weekly,Good
EMP0221,42,Retail,18,Hybrid,48,9,5,Medium,5,None,Good
EMP0222,30,IT,20,Hybrid,39,6,4,High,5,None,Average
EMP0223,33,Consulting,6,Onsite,23,6,3,High,2,Weekly,Good
EMP0224,28,Retail,29,Hybrid,38,3,3,High,1,None,Average
EMP0225,50,Manufacturing,1,Remote,30,5,1,Low,2,Daily,Average
EMP0226,44,Retail,4,Onsite,35,3,1,Low,1,Weekly,Good
EMP0227,40,Healthcare,6,Remote,22,0,5,Medium,4,Weekly,Average
EMP0228,23,IT,8,Onsite,28,15,2,Medium,3,Weekly,Poor
EMP0229,30,Consulting,32,Onsite,57,4,3,Medium,5,Weekly,Good
EMP0230,42,Manufacturing,10,Hybrid,48,14,2,Low,1,Weekly,Good
EMP0231,52,Retail,7,Onsite,45,14,1,Medium,4,Daily,Average
EMP0232,37,Healthcare,29,Onsite,34,3,4,Low,2,Weekly,Poor
EMP0233,28,Manufacturing,19,Hybrid,59,9,5,Low,2,Weekly,Poor
EMP0234,31,Consulting,18,Remote,31,6,3,High,2,Weekly,Average
EMP0235,23,Retail,9,Onsite,55,12,4,Low,5,Daily,Poor
EMP0236,37,Finance,18,Remote,23,11,2,Low,4,None,Average
EMP0237,25,Healthcare,33,Hybrid,51,7,1,Medium,1,Weekly,Average
EMP0238,55,Manufacturing,13,Remote,32,11,5,Medium,4,Daily,Average
EMP0239,56,IT,4,Remote,41,14,5,Low,1,Weekly,Good
EMP0240,51,Manufacturing,24,Hybrid,46,10,1,Low,1,Daily,Poor
EMP0241,35,Education,6,Onsite,58,15,4,High,2,Weekly,Poor
EMP0242,22,Manufacturing,2,Onsite,59,13,2,High,3,Weekly,Poor
EMP0243,34,Education,10,Remote,40,1,1,Medium,4,Weekly,Good
EMP0244,37,Retail,32,Remote,56,3,2,High,1,Weekly,Poor
EMP0245,59,Finance,17,Onsite,47,11,2,High,3,Weekly,Poor
EMP0246,53,IT,25,Hybrid,38,2,2,Low,3,None,Good
EMP0247,38,Healthcare,25,Remote,59,12,5,Low,1,Weekly,Average
EMP0248,32,Manufacturing,17,Onsite,47,4,1,Medium,4,None,Poor
EMP0249,36,Manufacturing,17,Remote,49,6,3,Medium,5,None,Average
EMP0250,29,Manufacturing,18,Hybrid,20,6,5,Low,2,Weekly,Poor
EMP0251,38,Manufacturing,26,Hybrid,50,9,1,High,2,Weekly,Good
EMP0252,32,Education,21,Hybrid,32,0,4,High,1,Weekly,Good
EMP0253,43,IT,21,Hybrid,23,8,3,Low,3,Daily,Average
EMP0254,46,IT,25,Remote,22,13,3,Medium,3,Weekly,Average
EMP0255,42,Education,4,Hybrid,33,11,5,Medium,2,Daily,Good
EMP0256,27,Education,25,Hybrid,32,13,3,Medium,5,Weekly,Average
EMP0257,54,Retail,10,Onsite,51,0,1,Medium,2,Daily,Average
EMP0258,43,Healthcare,34,Hybrid,49,11,3,Medium,3,None,Poor
EMP0259,31,Education,9,Remote,30,9,1,Medium,3,Daily,Average
EMP0260,53,Education,11,Remote,25,9,2,Medium,5,Weekly,Average
EMP0261,57,Manufacturing,3,Onsite,40,12,4,High,3,Weekly,Poor
EMP0262,50,Finance,20,Onsite,32,13,1,Low,1,None,Good
EMP0263,37,Education,18,Onsite,20,15,3,Medium,2,None,Average
EMP0264,58,Retail,8,Hybrid,35,5,5,Medium,5,Daily,Poor
EMP0265,57,Manufacturing,32,Remote,49,2,1,Medium,5,None,Average
EMP0266,50,Retail,21,Onsite,34,5,4,Medium,4,Weekly,Good
EMP0267,48,Manufacturing,33,Hybrid,58,13,3,Medium,5,None,Average
EMP0268,43,Consulting,15,Onsite,26,4,4,Medium,3,None,Average
EMP0269,58,Retail,12,Onsite,36,7,4,Medium,3,None,Poor
EMP0270,30,Education,32,Hybrid,48,3,4,High,4,Daily,Average
EMP0271,44,Finance,3,Onsite,57,5,4,High,5,Weekly,Good
EMP0272,41,Finance,28,Hybrid,32,8,2,Medium,2,Daily,Poor
EMP0273,60,Healthcare,17,Remote,55,7,4,Medium,4,None,Poor
EMP0274,58,Finance,35,Hybrid,28,3,3,High,2,None,Good
EMP0275,60,Consulting,7,Onsite,53,10,2,Low,3,Weekly,Poor
EMP0276,27,Finance,34,Onsite,36,10,4,Low,4,Daily,Good
EMP0277,38,Manufacturing,18,Remote,54,7,4,High,1,None,Average
EMP0278,56,Healthcare,8,Remote,33,8,3,Low,5,None,Poor
EMP0279,31,Finance,19,Onsite,39,1,4,Medium,4,Daily,Poor
EMP0280,37,Healthcare,25,Hybrid,33,11,1,Medium,5,None,Good
EMP0281,41,Education,2,Hybrid,48,4,1,Low,1,Weekly,Average
EMP0282,58,Education,10,Remote,60,7,5,Medium,3,Daily,Average
EMP0283,49,IT,35,Remote,24,1,1,Medium,4,None,Good
EMP0284,23,Healthcare,18,Remote,28,7,5,High,3,None,Average
EMP0285,24,Manufacturing,12,Hybrid,20,14,2,Low,2,Daily,Poor
EMP0286,41,Finance,35,Onsite,28,14,4,Medium,1,Weekly,Good
EMP0287,32,Consulting,23,Remote,48,12,4,Medium,2,None,Good
EMP0288,47,Healthcare,10,Hybrid,51,5,2,High,1,None,Good
EMP0289,23,IT,22,Hybrid,39,5,4,Low,2,Weekly,Poor
EMP0290,34,Retail,14,Remote,25,2,4,Medium,2,None,Poor
EMP0291,42,IT,32,Hybrid,53,12,1,High,3,Weekly,Average
EMP0292,42,IT,10,Hybrid,44,13,4,High,1,None,Average
EMP0293,33,Education,22,Hybrid,31,3,3,Medium,3,Weekly,Poor
EMP0294,40,Healthcare,3,Onsite,58,2,5,Low,3,Weekly,Average
EMP0295,27,Healthcare,33,Hybrid,26,5,4,Low,4,Weekly,Average
EMP0296,39,Consulting,33,Hybrid,20,4,3,Low,3,None,Good
EMP0297,42,IT,11,Hybrid,28,14,3,Low,2,None,Poor
EMP0298,22,Healthcare,7,Remote,35,14,5,Medium,5,None,Average
EMP0299,45,Finance,9,Remote,30,14,2,Low,2,None,Good
EMP0300,47,Finance,6,Hybrid,28,0,1,Low,2,None,Poor
EMP0301,24,Retail,16,Remote,21,4,3,Medium,3,Daily,Average
EMP0302,48,IT,2,Remote,56,13,2,Medium,5,Daily,Poor
EMP0303,60,Retail,13,Hybrid,25,10,3,High,2,None,Good
EMP0304,41,Education,20,Remote,21,0,1,High,2,Weekly,Average
EMP0305,49,Retail,17,Remote,50,2,4,Medium,5,Daily,Average
EMP0306,27,Finance,16,Onsite,50,3,5,High,5,Weekly,Good
EMP0307,35,Manufacturing,14,Hybrid,27,10,2,Low,5,None,Average
EMP0308,23,Consulting,3,Onsite,31,14,4,Medium,2,Weekly,Average
EMP0309,24,Finance,27,Hybrid,45,11,3,Low,4,Daily,Good
EMP0310,41,Education,25,Remote,23,8,2,Medium,2,Daily,Poor
EMP0311,41,IT,32,Onsite,42,14,3,Low,1,Weekly,Good
EMP0312,43,Finance,16,Onsite,37,8,1,Medium,4,Weekly,Good
EMP0313,30,IT,15,Onsite,40,7,5,Low,1,Daily,Good
EMP0314,44,Retail,26,Onsite,23,1,3,High,5,Weekly,Good
EMP0315,50,Education,22,Remote,20,3,3,Medium,4,None,Poor
EMP0316,48,Manufacturing,16,Remote,51,8,5,Medium,5,Weekly,Poor
EMP0317,45,IT,2,Onsite,46,1,2,Low,1,Daily,Good
EMP0318,60,Education,6,Remote,37,7,2,Medium,2,Weekly,Poor
EMP0319,51,Education,6,Onsite,42,4,2,Low,5,None,Average
EMP0320,48,Retail,4,Hybrid,53,15,4,Low,2,Weekly,Good
EMP0321,43,Consulting,25,Hybrid,26,0,2,Low,3,Daily,Poor
EMP0322,23,Education,31,Onsite,48,9,3,Medium,5,None,Good
EMP0323,32,Education,1,Onsite,58,0,3,Low,5,None,Poor
EMP0324,44,Consulting,29,Hybrid,52,7,1,Medium,2,Daily,Poor
EMP0325,36,Finance,4,Hybrid,52,13,4,High,1,None,Good
EMP0326,50,Manufacturing,2,Onsite,49,7,2,Low,3,Daily,Poor
EMP0327,54,Consulting,19,Hybrid,55,4,2,High,4,Weekly,Poor
EMP0328,54,Healthcare,13,Remote,33,0,2,High,3,Weekly,Average
EMP0329,33,Healthcare,2,Onsite,24,12,1,High,4,Daily,Poor
EMP0330,47,Consulting,31,Onsite,21,15,5,Low,5,None,Average
EMP0331,25,Education,28,Remote,55,12,5,Low,3,None,Good
EMP0332,38,Education,25,Remote,44,10,5,Medium,5,Daily,Average
EMP0333,31,Manufacturing,21,Onsite,24,7,4,Medium,4,None,Good
EMP0334,58,IT,11,Onsite,25,6,2,High,4,Daily,Poor
EMP0335,28,Education,16,Hybrid,40,0,4,High,3,Daily,Good
EMP0336,54,IT,32,Hybrid,59,3,2,Low,1,Weekly,Poor
EMP0337,60,IT,31,Onsite,22,9,4,High,2,Daily,Poor
EMP0338,38,Consulting,4,Hybrid,47,15,5,Medium,2,Daily,Poor
EMP0339,31,Finance,32,Hybrid,31,15,2,Low,1,None,Good
EMP0340,42,IT,2,Onsite,41,5,5,High,5,Weekly,Poor
EMP0341,52,Manufacturing,18,Remote,52,0,1,High,2,None,Good
EMP0342,41,Finance,6,Hybrid,48,0,2,Low,4,None,Good
EMP0343,44,Finance,20,Onsite,41,14,5,Medium,3,None,Poor
EMP0344,42,Finance,15,Remote,21,7,3,High,5,None,Average
EMP0345,53,Healthcare,3,Hybrid,49,15,2,Low,4,Daily,Poor
EMP0346,52,Education,29,Remote,32,7,4,High,5,None,Good
EMP0347,23,Education,12,Remote,40,12,1,Medium,3,Daily,Average
EMP0348,24,Finance,23,Onsite,22,10,4,High,3,Weekly,Average
EMP0349,41,Consulting,34,Hybrid,44,9,3,Low,5,Weekly,Good
EMP0350,60,Manufacturing,16,Onsite,41,15,1,Medium,4,Weekly,Good
EMP0351,25,Manufacturing,6,Remote,37,11,1,High,2,Weekly,Average
EMP0352,55,Healthcare,18,Onsite,54,12,3,Medium,3,None,Average
EMP0353,33,Retail,3,Onsite,31,3,1,Low,2,None,Good
EMP0354,43,Consulting,14,Hybrid,53,13,2,Medium,5,Weekly,Average
EMP0355,59,Education,20,Remote,23,13,5,Medium,3,Daily,Average
EMP0356,48,Healthcare,2,Remote,58,3,1,Low,2,None,Good
EMP0357,31,Finance,9,Remote,26,7,1,Low,2,Daily,Good
EMP0358,28,Manufacturing,23,Remote,46,7,3,Medium,3,Daily,Poor
EMP0359,49,Manufacturing,6,Remote,20,7,3,Medium,4,Weekly,Average
EMP0360,56,Finance,13,Hybrid,56,0,2,Medium,2,Daily,Good
EMP0361,56,Retail,30,Onsite,28,15,1,Medium,5,Daily,Poor
EMP0362,51,Consulting,10,Hybrid,39,2,1,Medium,5,None,Average
EMP0363,38,Manufacturing,11,Onsite,22,10,4,Medium,4,None,Average
EMP0364,40,IT,9,Onsite,32,4,3,High,2,Weekly,Good
